Date,Species,Latitude,Longitude,NumMosquitos,WnvPresent,IsSprayed,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,BR,HZ,RA,TSRA,VCTS,TS,DZ,FG,Neighbourhood,Neighbourhood_Ave_Wnv
2007-05-29,Culex Pipiens/Restuans,41.95469,-87.800991,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Dunning,0.08483290488431877
2007-05-29,Culex Restuans,41.95469,-87.800991,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Dunning,0.08483290488431877
2007-05-29,Culex Restuans,41.994991,-87.769279,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,"Sauganash,Forest Glen",0.046583850931677016
2007-05-29,Culex Pipiens/Restuans,41.974089,-87.824812,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Norwood Park,0.1282051282051282
2007-05-29,Culex Restuans,41.974089,-87.824812,4,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Norwood Park,0.1282051282051282
2007-05-29,Culex Restuans,41.9216,-87.666455,2,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Lincoln Park,0.04975124378109453
2007-05-29,Culex Restuans,41.891118,-87.65449100000001,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,West Town,0.005128205128205128
2007-05-29,Culex Pipiens/Restuans,41.867108,-87.654224,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,"Little Italy, UIC",0.03669724770642202
2007-05-29,Culex Restuans,41.867108,-87.654224,2,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,"Little Italy, UIC",0.03669724770642202
2007-05-29,Culex Restuans,41.896282,-87.655232,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,West Town,0.005128205128205128
2007-05-29,Culex Pipiens/Restuans,41.919343,-87.694259,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Logan Square,0.0
2007-05-29,Culex Pipiens/Restuans,41.921965,-87.632085,2,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Lincoln Park,0.04975124378109453
2007-05-29,Culex Restuans,41.921965,-87.632085,3,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Lincoln Park,0.04975124378109453
2007-05-29,Culex Pipiens/Restuans,41.688324,-87.676709,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Morgan Park,0.10126582278481013
2007-05-29,Culex Restuans,41.688324,-87.676709,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Morgan Park,0.10126582278481013
2007-05-29,Culex Restuans,41.862292,-87.64886,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,"Little Italy, UIC",0.03669724770642202
2007-05-29,Culex Restuans,41.720848,-87.666014,3,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Beverly,0.05
2007-05-29,Culex Restuans,41.731922,-87.677512,5,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Beverly,0.05
2007-05-29,Culex Pipiens,41.731922,-87.677512,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Beverly,0.05
2007-05-29,Culex Pipiens/Restuans,41.891126,-87.61156,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Streeterville,0.0
2007-05-29,Culex Restuans,41.891126,-87.61156,2,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,29.415,30.1,5.8,17.0,6.95,1,1,0,0,0,0,0,0,Streeterville,0.0
